AcclerometerX,AcclerometerY,AcclerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,Roll,Pitch,Yaw
0.086196,-0.373515,-9.902923,0.025551,-0.000252,-0.001598,-1530.375244,-910.334411,-2016.377807,-0.89,0.6,0.75
0.086196,-0.373515,-9.902923,0.025551,-0.000252,-0.001598,-1530.375244,-910.334411,-2016.377807,-0.9,0.6,0.75
0.081407,-0.359149,-9.912501,0.026217,-0.000385,-0.001598,-1530.375244,-910.334411,-2016.377807,-0.9,0.6,0.75
0.095773,-0.363937,-9.902923,0.027415,-0.000784,-0.003728,-1530.375244,-910.334411,-2016.377807,-0.91,0.61,0.75
0.095773,-0.363937,-9.902923,0.027415,-0.000784,-0.003728,-1530.375244,-910.334411,-2016.377807,-0.92,0.61,0.75
0.090984,-0.363937,-9.883769,0.027149,-0.000917,-0.004394,-1530.375244,-910.334411,-2016.377807,-0.92,0.61,0.75
0.095773,-0.35436,-9.931655,0.026882,-0.000651,-0.004128,-1530.013305,-910.334411,-2014.276245,-0.93,0.62,0.76
0.095773,-0.35436,-9.931655,0.026882,-0.000651,-0.004128,-1530.013305,-910.334411,-2014.276245,-0.94,0.62,0.76
0.095773,-0.373515,-9.907711,0.027149,0.000281,-0.003196,-1530.013305,-910.334411,-2014.276245,-0.94,0.62,0.76
0.086196,-0.363937,-9.898135,0.025551,-0.000518,-0.003595,-1530.013305,-910.334411,-2014.276245,-0.95,0.63,0.76
0.095773,-0.368726,-9.907711,0.024885,-0.000119,-0.006125,-1530.013305,-910.334411,-2014.276245,-0.96,0.63,0.76
0.095773,-0.368726,-9.907711,0.024885,-0.000119,-0.006125,-1530.013305,-910.334411,-2014.276245,-0.96,0.63,0.76
0.090984,-0.368726,-9.917289,0.024352,0.000814,-0.00799,-1530.013305,-910.334411,-2014.276245,-0.97,0.64,0.76
0.086196,-0.383092,-9.898135,0.025551,0.000281,-0.007324,-1530.013305,-910.334411,-2014.276245,-0.98,0.64,0.76
0.086196,-0.383092,-9.898135,0.025551,0.000281,-0.007324,-1530.013305,-910.334411,-2014.276245,-0.98,0.64,0.77
0.090984,-0.349571,-9.936444,0.025684,0.000547,-0.010386,-1530.375244,-910.334411,-2013.575805,-0.99,0.65,0.77
0.081407,-0.35436,-9.902923,0.025551,0.000814,-0.003063,-1530.375244,-910.334411,-2013.575805,-1,0.65,0.77
0.081407,-0.35436,-9.922078,0.02635,0.000414,0.000799,-1530.375244,-910.334411,-2013.575805,-1,0.65,0.77
0.081407,-0.35436,-9.922078,0.02635,0.000414,0.000799,-1530.375244,-910.334411,-2013.575805,-1.01,0.66,0.77
0.081407,-0.349571,-9.931655,0.027681,-0.000119,0.000133,-1530.375244,-910.334411,-2013.575805,-1.01,0.66,0.77
0.086196,-0.363937,-9.898135,0.027948,0.001479,-0.000399,-1530.375244,-910.334411,-2013.575805,-1.02,0.66,0.77
0.086196,-0.363937,-9.898135,0.027948,0.001479,-0.000399,-1530.375244,-910.334411,-2013.575805,-1.03,0.67,0.77
0.095773,-0.359149,-9.898135,0.027149,0.000814,-0.000932,-1530.375244,-910.334411,-2013.575805,-1.03,0.67,0.78
0.07183,-0.363937,-9.912501,0.028081,0.000281,0.000666,-1530.375244,-910.334411,-2013.575805,-1.04,0.67,0.78
0.07183,-0.359149,-9.917289,0.026483,0.00068,-0.001332,-1530.375244,-911.420288,-2013.575805,-1.05,0.68,0.78
0.07183,-0.359149,-9.917289,0.026483,0.00068,-0.001332,-1530.375244,-911.420288,-2013.575805,-1.05,0.68,0.78
0.076618,-0.363937,-9.907711,0.027415,0.000814,-0.001465,-1530.375244,-911.420288,-2013.575805,-1.06,0.68,0.78
0.081407,-0.349571,-9.917289,0.027282,0.000947,-0.000799,-1530.375244,-911.420288,-2013.575805,-1.06,0.69,0.78
